name,price,rating,ratingNumber,img,FirstCategory,SecondCategory,GetItByTomorrow
"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charging Cable Compatible with One Plus 3 /3T /5 /5T /6 /6T /7 /7T /7 pro & for All Type C Devices - 1 Meter, Red",4.16,4.1,210,https://m.media-amazon.com/images/I/41SNaWjuZWL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),321.49,4.2,"45,238",https://m.media-amazon.com/images/I/41w1didcczL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",True
"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cable for Data Transfer Perfect for Android Smart Phones White 1.2 Meter Made in India (Pack of 2)",1.37,4.0,"7,732",https://m.media-amazon.com/images/I/41gFqSHngyL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,True
"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Rebellious Black)",4.75,4.1,"1,780",https://m.media-amazon.com/images/I/41jlh3c7UbL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,True
"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Technology & Quick Charge 3.0, Compatible with All Type-C & Micro USB Devices (ABDC-10, Black)",2.37,4.1,602,https://m.media-amazon.com/images/I/31x3IUfMneL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, Black)",2.13,4.0,"1,423",https://m.media-amazon.com/images/I/31l-eZHBfKL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32S5205 (Black),129.8,4.1,398,https://m.media-amazon.com/images/I/51ow6bmLWIL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",True
"SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11, 12, 13 Pro max iPad Air/Mini, iPod and iOS Devices (White)",2.49,3.9,536,https://m.media-amazon.com/images/I/41KmCJuybRL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
Firestick Remote,17.08,4.0,32,https://m.media-amazon.com/images/I/31C4z2M8TiL._SX300_SY300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",True
"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",4.75,4.2,"24,269",https://m.media-amazon.com/images/I/41xmv3WPs7L._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,True
"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable For Usb Type C Devices, Charging Adapter (White, 1 Meter) - Xcd-C12",1.66,4.0,"9,378",https://m.media-amazon.com/images/I/31DDGpem3OL._SY445_SX342_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
SKYWALL 81.28 cm (32 inches) HD Ready Smart LED TV 32SWELS-PRO (Black),86.91,3.4,902,https://m.media-amazon.com/images/I/41M9BBMSUdL._SX300_SY300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",True
"boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black)",3.56,4.4,"28,791",https://m.media-amazon.com/images/I/412XfBAEikL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
"Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",3.87,4.2,"10,576",https://m.media-amazon.com/images/I/41J6oGU8w5L._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),357.22,4.2,"7,298",https://m.media-amazon.com/images/I/51ovMTXv9RL._SX300_SY300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",False
Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black),333.4,4.3,"4,703",https://m.media-amazon.com/images/I/41imW51RweL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",False
Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),369.02,4.3,"7,109",https://m.media-amazon.com/images/I/41RVzq6GiIL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",False
"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices – Red, 1 Meter",2.37,4.5,127,https://m.media-amazon.com/images/I/3135yilFsfL._SY445_SX342_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
"Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable Fast Charger Cord For Iphone, Ipad Tablet (3 Ft Pack Of 2, Grey)",7.73,4.2,"24,269",https://m.media-amazon.com/images/I/412fvb7k2FL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,True
"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",3.2,3.6,"10,134",https://m.media-amazon.com/images/I/31mgo4D-kPL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,NetworkingDevices,False
